idx,1 vs. 0,2 vs. 0,2 vs. 1
-0.3912941550027762,0.791,0.672,-0.118
,"[0.417, 1.165]","[0.147, 1.198]","[-0.621, 0.385]"
-0.3215992115937141,0.806,0.732,-0.074
,"[0.426, 1.185]","[0.2, 1.264]","[-0.579, 0.432]"
-0.2594648240204991,0.834,0.791,-0.043
,"[0.441, 1.226]","[0.256, 1.325]","[-0.547, 0.461]"
-0.15596772805278,0.865,0.844,-0.022
,"[0.459, 1.272]","[0.31, 1.377]","[-0.52, 0.477]"
-0.0957796262837336,0.894,0.883,-0.011
,"[0.479, 1.309]","[0.343, 1.422]","[-0.51, 0.487]"
-0.019054206100353,0.922,0.931,0.01
,"[0.501, 1.342]","[0.387, 1.476]","[-0.489, 0.509]"
0.052857801011623,0.953,0.976,0.023
,"[0.532, 1.374]","[0.431, 1.522]","[-0.477, 0.522]"
0.109411822401764,0.987,1.023,0.036
,"[0.558, 1.415]","[0.471, 1.574]","[-0.469, 0.541]"
0.1780501701453622,1.015,1.058,0.044
,"[0.587, 1.442]","[0.508, 1.608]","[-0.465, 0.553]"
0.267709518263319,1.041,1.091,0.05
,"[0.612, 1.47]","[0.534, 1.648]","[-0.463, 0.563]"
0.3524254616134985,1.04,1.089,0.049
,"[0.609, 1.471]","[0.529, 1.649]","[-0.463, 0.562]"
0.3967007120681454,1.025,1.073,0.048
,"[0.6, 1.451]","[0.519, 1.627]","[-0.464, 0.56]"
0.4770645843278058,0.989,1.044,0.054
,"[0.569, 1.409]","[0.502, 1.585]","[-0.446, 0.554]"
0.5552102505834607,0.925,0.985,0.061
,"[0.5, 1.349]","[0.452, 1.519]","[-0.441, 0.562]"
0.6180680164628675,0.888,0.958,0.07
,"[0.466, 1.31]","[0.425, 1.49]","[-0.428, 0.568]"
0.683362415291856,0.87,0.949,0.079
,"[0.446, 1.295]","[0.414, 1.485]","[-0.422, 0.58]"
0.7516821820816219,0.862,0.946,0.084
,"[0.425, 1.3]","[0.404, 1.489]","[-0.42, 0.587]"
0.8032528507228828,0.864,0.95,0.087
,"[0.428, 1.299]","[0.394, 1.507]","[-0.433, 0.606]"
0.8874016402339868,0.858,0.94,0.081
,"[0.417, 1.299]","[0.36, 1.519]","[-0.465, 0.628]"
0.9446558350564406,0.848,0.923,0.075
,"[0.403, 1.292]","[0.341, 1.505]","[-0.47, 0.621]"
1.0149798303215998,0.833,0.903,0.07
,"[0.383, 1.283]","[0.313, 1.492]","[-0.486, 0.625]"
1.0634540622374122,0.822,0.889,0.067
,"[0.365, 1.279]","[0.306, 1.471]","[-0.487, 0.621]"
1.1211406188508906,0.801,0.868,0.067
,"[0.347, 1.255]","[0.292, 1.443]","[-0.485, 0.618]"
1.1867166120962227,0.778,0.847,0.069
,"[0.322, 1.234]","[0.274, 1.42]","[-0.48, 0.617]"
1.270190063593842,0.762,0.84,0.078
,"[0.299, 1.225]","[0.262, 1.418]","[-0.474, 0.63]"
1.3792057438688927,0.804,0.89,0.086
,"[0.342, 1.266]","[0.31, 1.471]","[-0.465, 0.638]"
1.469120907688674,0.856,0.939,0.083
,"[0.398, 1.315]","[0.347, 1.532]","[-0.478, 0.644]"
1.5176831600188423,0.879,0.962,0.083
,"[0.418, 1.34]","[0.364, 1.56]","[-0.484, 0.65]"
1.5694974089450175,0.898,0.981,0.083
,"[0.438, 1.358]","[0.378, 1.584]","[-0.487, 0.652]"
1.6470348959634276,0.939,1.023,0.084
,"[0.475, 1.402]","[0.404, 1.643]","[-0.49, 0.659]"
1.7144906242704714,0.979,1.064,0.085
,"[0.511, 1.447]","[0.432, 1.695]","[-0.501, 0.67]"
