idx,1 vs. 0,2 vs. 0,2 vs. 1
0.6982756989430325,1.13,1.042,-0.088
,"[0.712, 1.548]","[0.361, 1.723]","[-0.725, 0.549]"
0.755945184769382,1.12,1.032,-0.087
,"[0.697, 1.543]","[0.346, 1.719]","[-0.728, 0.553]"
0.8161410763236865,1.112,1.026,-0.087
,"[0.697, 1.528]","[0.338, 1.713]","[-0.729, 0.556]"
0.8791384908322851,1.111,1.023,-0.089
,"[0.695, 1.528]","[0.332, 1.714]","[-0.731, 0.554]"
0.9190562870805148,1.11,1.013,-0.097
,"[0.695, 1.524]","[0.324, 1.702]","[-0.738, 0.545]"
1.0052655775049524,1.101,0.986,-0.115
,"[0.682, 1.52]","[0.304, 1.669]","[-0.746, 0.517]"
1.092372034321898,1.091,0.963,-0.128
,"[0.665, 1.516]","[0.284, 1.642]","[-0.757, 0.5]"
1.1670961869596086,1.096,0.971,-0.124
,"[0.67, 1.521]","[0.288, 1.655]","[-0.756, 0.507]"
1.2228798455246896,1.111,0.989,-0.122
,"[0.681, 1.542]","[0.299, 1.68]","[-0.761, 0.517]"
1.336605659062951,1.138,1.029,-0.109
,"[0.706, 1.57]","[0.335, 1.722]","[-0.752, 0.534]"
1.4079242761109103,1.155,1.063,-0.092
,"[0.717, 1.592]","[0.432, 1.694]","[-0.67, 0.486]"
1.463198831570996,1.172,1.089,-0.083
,"[0.741, 1.604]","[0.464, 1.714]","[-0.653, 0.486]"
1.5259295550013,1.183,1.1,-0.083
,"[0.754, 1.612]","[0.477, 1.723]","[-0.654, 0.488]"
1.6278966407640985,1.192,1.103,-0.089
,"[0.766, 1.618]","[0.48, 1.725]","[-0.656, 0.478]"
1.6755878775909374,1.192,1.105,-0.087
,"[0.765, 1.618]","[0.483, 1.726]","[-0.654, 0.48]"
