idx,1 vs. 0,2 vs. 0,2 vs. 1
,"[-0.25, 0.043]","[-0.401, 0.029]","[-0.283, 0.118]"
-0.4071844506396704,0.043,-0.063,-0.106
,"[-0.076, 0.161]","[-0.241, 0.114]","[-0.273, 0.061]"
-0.3621069725522465,0.085,-0.026,-0.111
,"[-0.037, 0.208]","[-0.209, 0.158]","[-0.282, 0.059]"
-0.2936618410852831,0.148,0.032,-0.115
,"[0.018, 0.277]","[-0.158, 0.222]","[-0.293, 0.062]"
-0.2450731576137712,0.18,0.069,-0.111
,"[0.039, 0.321]","[-0.126, 0.265]","[-0.289, 0.068]"
-0.174922479949972,0.209,0.111,-0.098
,"[0.061, 0.358]","[-0.088, 0.309]","[-0.28, 0.083]"
-0.0919268391826789,0.228,0.148,-0.08
,"[0.07, 0.387]","[-0.056, 0.352]","[-0.266, 0.106]"
-0.0311022458438512,0.24,0.174,-0.066
,"[0.071, 0.409]","[-0.043, 0.391]","[-0.267, 0.135]"
0.0329558446949673,0.261,0.211,-0.05
,"[0.079, 0.443]","[-0.025, 0.447]","[-0.269, 0.17]"
0.1001442794038909,0.285,0.246,-0.039
,"[0.094, 0.475]","[-0.021, 0.513]","[-0.29, 0.213]"
0.1781155028135414,0.307,0.276,-0.031
,"[0.1, 0.513]","[0.005, 0.547]","[-0.28, 0.219]"
0.2818047468804571,0.338,0.326,-0.012
,"[0.129, 0.548]","[0.047, 0.605]","[-0.276, 0.251]"
0.3606772137689366,0.357,0.361,0.004
,"[0.148, 0.566]","[0.076, 0.647]","[-0.263, 0.271]"
0.4579421033766778,0.367,0.388,0.02
,"[0.154, 0.581]","[0.09, 0.686]","[-0.257, 0.297]"
0.5505622722333529,0.348,0.372,0.024
,"[0.135, 0.561]","[0.072, 0.672]","[-0.252, 0.301]"
0.622113222680239,0.334,0.366,0.032
,"[0.119, 0.55]","[0.059, 0.673]","[-0.249, 0.312]"
0.6982756989430325,0.323,0.36,0.037
,"[0.099, 0.548]","[0.05, 0.67]","[-0.247, 0.32]"
0.755945184769382,0.313,0.35,0.037
,"[0.088, 0.539]","[0.038, 0.663]","[-0.248, 0.322]"
0.8161410763236865,0.306,0.344,0.039
,"[0.082, 0.529]","[0.033, 0.655]","[-0.246, 0.323]"
0.8791384908322851,0.305,0.343,0.038
,"[0.077, 0.532]","[0.028, 0.659]","[-0.248, 0.325]"
0.9190562870805148,0.303,0.334,0.031
,"[0.075, 0.531]","[0.021, 0.648]","[-0.253, 0.316]"
1.0052655775049524,0.294,0.308,0.014
,"[0.062, 0.527]","[-0.006, 0.623]","[-0.27, 0.298]"
1.092372034321898,0.284,0.283,-0.002
,"[0.047, 0.521]","[-0.036, 0.601]","[-0.292, 0.289]"
1.1670961869596086,0.289,0.29,0.001
,"[0.052, 0.526]","[-0.031, 0.612]","[-0.29, 0.292]"
1.2228798455246896,0.305,0.31,0.005
,"[0.064, 0.545]","[-0.017, 0.636]","[-0.291, 0.302]"
1.336605659062951,0.331,0.352,0.021
,"[0.093, 0.569]","[0.022, 0.682]","[-0.282, 0.324]"
1.4079242761109103,0.348,0.391,0.043
,"[0.108, 0.588]","[0.057, 0.725]","[-0.266, 0.352]"
1.463198831570996,0.366,0.423,0.057
,"[0.128, 0.604]","[0.117, 0.729]","[-0.219, 0.333]"
1.5259295550013,0.376,0.439,0.062
,"[0.133, 0.62]","[0.132, 0.746]","[-0.214, 0.338]"
1.6278966407640985,0.385,0.45,0.064
,"[0.141, 0.629]","[0.142, 0.757]","[-0.211, 0.339]"
1.6755878775909374,0.385,0.455,0.07
,"[0.14, 0.629]","[0.147, 0.764]","[-0.205, 0.346]"
