idx,1 vs. 0,2 vs. 0,2 vs. 1
,"[-0.066, 0.127]","[-0.181, 0.1]","[-0.202, 0.059]"
-0.3621069725522465,0.068,-0.008,-0.076
,"[-0.031, 0.167]","[-0.149, 0.133]","[-0.204, 0.052]"
-0.2936618410852831,0.121,0.042,-0.08
,"[0.015, 0.228]","[-0.107, 0.19]","[-0.214, 0.054]"
-0.2450731576137712,0.151,0.076,-0.076
,"[0.034, 0.268]","[-0.085, 0.236]","[-0.221, 0.069]"
-0.174922479949972,0.179,0.112,-0.067
,"[0.054, 0.305]","[-0.055, 0.278]","[-0.219, 0.084]"
-0.0919268391826789,0.199,0.139,-0.06
,"[0.064, 0.335]","[-0.033, 0.311]","[-0.217, 0.097]"
-0.0311022458438512,0.209,0.153,-0.056
,"[0.063, 0.356]","[-0.034, 0.341]","[-0.233, 0.121]"
0.0329558446949673,0.228,0.181,-0.047
,"[0.071, 0.385]","[-0.024, 0.387]","[-0.242, 0.148]"
0.1001442794038909,0.251,0.211,-0.04
,"[0.082, 0.42]","[-0.021, 0.444]","[-0.262, 0.182]"
0.1781155028135414,0.273,0.238,-0.035
,"[0.092, 0.454]","[0.004, 0.472]","[-0.258, 0.189]"
0.2818047468804571,0.303,0.287,-0.016
,"[0.117, 0.489]","[0.041, 0.534]","[-0.25, 0.219]"
0.3606772137689366,0.323,0.328,0.005
,"[0.137, 0.509]","[0.075, 0.581]","[-0.235, 0.245]"
0.4579421033766778,0.334,0.356,0.021
,"[0.147, 0.522]","[0.092, 0.62]","[-0.227, 0.27]"
0.5505622722333529,0.318,0.336,0.018
,"[0.131, 0.504]","[0.071, 0.601]","[-0.227, 0.264]"
0.622113222680239,0.306,0.325,0.019
,"[0.117, 0.495]","[0.056, 0.595]","[-0.229, 0.267]"
0.6982756989430325,0.297,0.315,0.017
,"[0.104, 0.491]","[0.043, 0.586]","[-0.232, 0.266]"
0.755945184769382,0.287,0.301,0.014
,"[0.09, 0.485]","[0.028, 0.573]","[-0.237, 0.264]"
0.8161410763236865,0.279,0.29,0.012
,"[0.08, 0.478]","[0.018, 0.563]","[-0.238, 0.261]"
0.8791384908322851,0.277,0.287,0.01
,"[0.079, 0.476]","[0.015, 0.559]","[-0.24, 0.259]"
0.9190562870805148,0.275,0.278,0.003
,"[0.076, 0.474]","[0.006, 0.551]","[-0.247, 0.253]"
1.0052655775049524,0.265,0.25,-0.016
,"[0.062, 0.468]","[-0.022, 0.522]","[-0.265, 0.233]"
1.092372034321898,0.254,0.222,-0.031
,"[0.043, 0.464]","[-0.059, 0.504]","[-0.291, 0.228]"
1.1670961869596086,0.256,0.228,-0.028
,"[0.047, 0.464]","[-0.054, 0.509]","[-0.286, 0.23]"
1.2228798455246896,0.27,0.248,-0.022
,"[0.06, 0.48]","[-0.033, 0.53]","[-0.279, 0.235]"
1.336605659062951,0.296,0.294,-0.002
,"[0.089, 0.502]","[0.007, 0.581]","[-0.267, 0.263]"
1.4079242761109103,0.311,0.332,0.021
,"[0.099, 0.522]","[0.042, 0.622]","[-0.247, 0.289]"
1.463198831570996,0.328,0.365,0.037
,"[0.12, 0.536]","[0.102, 0.628]","[-0.203, 0.277]"
1.5259295550013,0.338,0.382,0.044
,"[0.129, 0.548]","[0.117, 0.648]","[-0.198, 0.286]"
1.6278966407640985,0.348,0.394,0.046
,"[0.139, 0.557]","[0.128, 0.659]","[-0.195, 0.288]"
1.6755878775909374,0.348,0.399,0.051
,"[0.138, 0.558]","[0.136, 0.663]","[-0.189, 0.291]"
