idx,1 vs. 0,2 vs. 0,2 vs. 1
0.4770645843278058,0.964,1.0,0.036
,"[0.541, 1.387]","[0.453, 1.548]","[-0.472, 0.545]"
0.5552102505834607,0.904,0.95,0.046
,"[0.478, 1.33]","[0.406, 1.495]","[-0.464, 0.556]"
0.6180680164628675,0.87,0.926,0.056
,"[0.446, 1.294]","[0.386, 1.465]","[-0.446, 0.558]"
0.683362415291856,0.854,0.918,0.064
,"[0.43, 1.279]","[0.381, 1.455]","[-0.433, 0.561]"
0.7516821820816219,0.849,0.917,0.068
,"[0.419, 1.279]","[0.387, 1.446]","[-0.427, 0.562]"
0.8032528507228828,0.852,0.922,0.07
,"[0.416, 1.288]","[0.387, 1.458]","[-0.428, 0.569]"
0.8874016402339868,0.849,0.916,0.066
,"[0.411, 1.288]","[0.359, 1.473]","[-0.453, 0.586]"
0.9446558350564406,0.84,0.903,0.063
,"[0.388, 1.292]","[0.336, 1.47]","[-0.472, 0.597]"
1.0149798303215998,0.825,0.886,0.06
,"[0.367, 1.284]","[0.294, 1.477]","[-0.501, 0.622]"
1.0634540622374122,0.814,0.873,0.059
,"[0.355, 1.273]","[0.287, 1.459]","[-0.499, 0.617]"
1.1211406188508906,0.794,0.853,0.059
,"[0.334, 1.254]","[0.27, 1.437]","[-0.494, 0.613]"
1.1867166120962227,0.772,0.831,0.059
,"[0.308, 1.237]","[0.249, 1.413]","[-0.491, 0.608]"
1.270190063593842,0.756,0.816,0.06
,"[0.288, 1.224]","[0.23, 1.402]","[-0.495, 0.616]"
1.3792057438688927,0.793,0.854,0.061
,"[0.33, 1.256]","[0.267, 1.442]","[-0.499, 0.621]"
1.469120907688674,0.842,0.9,0.058
,"[0.385, 1.298]","[0.297, 1.503]","[-0.509, 0.625]"
1.5176831600188423,0.863,0.922,0.059
,"[0.401, 1.326]","[0.317, 1.527]","[-0.512, 0.63]"
1.5694974089450175,0.881,0.942,0.061
,"[0.418, 1.344]","[0.333, 1.55]","[-0.511, 0.632]"
1.6470348959634276,0.918,0.983,0.065
,"[0.452, 1.384]","[0.367, 1.599]","[-0.508, 0.637]"
1.7144906242704714,0.954,1.024,0.07
,"[0.486, 1.422]","[0.427, 1.622]","[-0.476, 0.617]"
