idx,1 vs. 0,2 vs. 0,2 vs. 1
,"[0.711, 1.522]","[0.38, 1.575]","[-0.694, 0.415]"
0.4579421033766778,1.128,1.005,-0.123
,"[0.732, 1.524]","[0.352, 1.658]","[-0.736, 0.49]"
0.5505622722333529,1.111,0.985,-0.126
,"[0.718, 1.505]","[0.334, 1.636]","[-0.739, 0.486]"
0.622113222680239,1.1,0.975,-0.125
,"[0.704, 1.496]","[0.323, 1.626]","[-0.736, 0.485]"
0.6982756989430325,1.091,0.964,-0.127
,"[0.686, 1.496]","[0.308, 1.62]","[-0.739, 0.484]"
0.755945184769382,1.081,0.95,-0.131
,"[0.676, 1.486]","[0.3, 1.6]","[-0.736, 0.474]"
0.8161410763236865,1.073,0.94,-0.133
,"[0.665, 1.48]","[0.29, 1.589]","[-0.733, 0.467]"
0.8791384908322851,1.071,0.936,-0.135
,"[0.671, 1.472]","[0.29, 1.583]","[-0.735, 0.465]"
0.9190562870805148,1.069,0.927,-0.142
,"[0.668, 1.47]","[0.285, 1.569]","[-0.738, 0.454]"
1.0052655775049524,1.059,0.898,-0.161
,"[0.652, 1.466]","[0.252, 1.544]","[-0.762, 0.439]"
1.092372034321898,1.047,0.872,-0.176
,"[0.636, 1.459]","[0.227, 1.516]","[-0.774, 0.422]"
1.1670961869596086,1.05,0.877,-0.173
,"[0.639, 1.46]","[0.231, 1.523]","[-0.767, 0.422]"
1.2228798455246896,1.064,0.897,-0.167
,"[0.655, 1.473]","[0.255, 1.54]","[-0.759, 0.426]"
1.336605659062951,1.089,0.943,-0.146
,"[0.674, 1.504]","[0.285, 1.601]","[-0.756, 0.463]"
1.4079242761109103,1.105,0.98,-0.125
,"[0.686, 1.523]","[0.316, 1.644]","[-0.742, 0.493]"
1.463198831570996,1.122,1.012,-0.11
,"[0.707, 1.537]","[0.409, 1.614]","[-0.663, 0.443]"
1.5259295550013,1.132,1.026,-0.106
,"[0.719, 1.546]","[0.417, 1.636]","[-0.665, 0.453]"
1.6278966407640985,1.141,1.029,-0.112
,"[0.73, 1.552]","[0.423, 1.636]","[-0.668, 0.444]"
1.6755878775909374,1.142,1.031,-0.111
,"[0.729, 1.555]","[0.426, 1.636]","[-0.668, 0.446]"
